country,esg_risk_score,risk_category,co2,total_ghg,energy_per_capita
Nepal,0.001011025794339355,Low Risk,3.0945733333333334,42.56224,423.3760933333333
Somalia,0.0009986055420666664,Low Risk,0.5590933333333333,31.14468,565.53568
Lesotho,0.0009326343763758428,Low Risk,2.0665714285714287,5.444142857142857,1243.267057142857
Afghanistan,0.0009279384923489592,Low Risk,3.2349466666666666,22.97016,706.39652
Eritrea,0.0009149480322175508,Low Risk,0.6139354838709677,8.533354838709677,1134.288
East Timor,0.0008906446082954445,Low Risk,0.3915483870967742,4.613483870967742,1222.7962903225805
Chad,0.0008895863489995901,Low Risk,0.68456,41.8488,234.76406666666668
Benin,0.0008130246757049063,Low Risk,1.7118,19.095426666666665,945.5756533333333
Mali,0.000807585710172088,Low Risk,1.518121212121212,36.8014696969697,431.4907575757576
Uganda,0.0007997649677060555,Low Risk,1.7517733333333334,42.916693333333335,333.40741333333335
Haiti,0.0007971614787889413,Low Risk,1.18072,11.604733333333334,812.51016
Togo,0.0007840669438006562,Low Risk,1.0217866666666666,8.63216,957.5520266666667
Niger,0.0007607532808480302,Low Risk,0.82008,31.85396,416.89665333333335
Sierra Leone,0.0007489241785088531,Low Risk,0.5682933333333333,17.446853333333333,811.5572
Burkina Faso,0.0006644591723725056,Low Risk,1.2772400000000002,29.270386666666667,393.71524
Gambia,0.0006633210489749709,Low Risk,0.23575999999999997,1.8506133333333332,876.6998133333334
Comoros,0.0005905531363588854,Low Risk,0.11384848484848485,0.47178787878787876,785.2009242424242
Guinea-Bissau,0.0005527777060090134,Low Risk,0.11048,4.441693333333333,686.6785733333334
Central African Republic,0.0005401127091617147,Low Risk,0.16457333333333332,26.6534,295.28511999999995
Malawi,0.00046600046690200696,Low Risk,0.7674133333333333,17.901880000000002,411.0690133333333
Rwanda,0.00037032255765719627,Low Risk,0.4975066666666667,8.75404,292.3666
Burundi,0.000250846769958337,Low Risk,0.22253333333333336,6.210826666666667,163.59692
Tuvalu,8.957136751242297e-05,Low Risk,0.008428571428571428,0.016257142857142855,0.0
